Date;Filière;Valeur (GW)
04/12/2020;Disponibilité du parc nucléaire;45,70552
05/12/2020;Disponibilité du parc nucléaire;45,21475
06/12/2020;Disponibilité du parc nucléaire;46,01869
07/12/2020;Disponibilité du parc nucléaire;45,40875
08/12/2020;Disponibilité du parc nucléaire;45,76692
09/12/2020;Disponibilité du parc nucléaire;46,75712
10/12/2020;Disponibilité du parc nucléaire;46,16923
11/12/2020;Disponibilité du parc nucléaire;45,31059
12/12/2020;Disponibilité du parc nucléaire;46,15588
13/12/2020;Disponibilité du parc nucléaire;46,45292
14/12/2020;Disponibilité du parc nucléaire;45,95917
15/12/2020;Disponibilité du parc nucléaire;47,23125
16/12/2020;Disponibilité du parc nucléaire;46,61285
17/12/2020;Disponibilité du parc nucléaire;42,21448
18/12/2020;Disponibilité du parc nucléaire;48,43849
19/12/2020;Disponibilité du parc nucléaire;46,98859
20/12/2020;Disponibilité du parc nucléaire;48,17261
21/12/2020;Disponibilité du parc nucléaire;49,15414
22/12/2020;Disponibilité du parc nucléaire;49,65333
23/12/2020;Disponibilité du parc nucléaire;50,56251
24/12/2020;Disponibilité du parc nucléaire;50,07415
25/12/2020;Disponibilité du parc nucléaire;49,37973
26/12/2020;Disponibilité du parc nucléaire;49,49963
27/12/2020;Disponibilité du parc nucléaire;48,04917
28/12/2020;Disponibilité du parc nucléaire;48,61907
29/12/2020;Disponibilité du parc nucléaire;50,44031
30/12/2020;Disponibilité du parc nucléaire;50,475
31/12/2020;Disponibilité du parc nucléaire;50,76729
01/01/2021;Disponibilité du parc nucléaire;51,18546
02/01/2021;Disponibilité du parc nucléaire;51,755
03/01/2021;Disponibilité du parc nucléaire;51,74869
04/01/2021;Disponibilité du parc nucléaire;51,815
05/01/2021;Disponibilité du parc nucléaire;51,82375
06/01/2021;Disponibilité du parc nucléaire;52,14271
07/01/2021;Disponibilité du parc nucléaire;52,29
08/01/2021;Disponibilité du parc nucléaire;52,29
09/01/2021;Disponibilité du parc nucléaire;52,27725
10/01/2021;Disponibilité du parc nucléaire;52,29
11/01/2021;Disponibilité du parc nucléaire;52,29
12/01/2021;Disponibilité du parc nucléaire;51,82703
13/01/2021;Disponibilité du parc nucléaire;50,94208
14/01/2021;Disponibilité du parc nucléaire;52,12675
15/01/2021;Disponibilité du parc nucléaire;51,981
